date,삼성전자,SK하이닉스,HD한국조선해양,한화오션,삼성중공업,HD현대일렉트릭,효성중공업,LS ELECTRIC,대한전선,한화에어로스페이스,현대로템,LIG넥스원,한국항공우주,현대차
2025-06-16,57200.0,248000.0,367500.0,85300.0,18070.0,456500.0,771000.0,57200.0,15940.0,970000.0,198600.0,554000.0,98800.0,201500.0
2025-06-17,58100.0,249000.0,365000.0,92000.0,17870.0,470500.0,766000.0,56200.0,15800.0,954000.0,198000.0,561000.0,96500.0,205000.0
2025-06-18,59800.0,246500.0,368500.0,92400.0,17850.0,467000.0,804000.0,56000.0,15870.0,927000.0,196500.0,563000.0,96900.0,206000.0
2025-06-19,59200.0,246000.0,379000.0,89200.0,17440.0,473000.0,844000.0,55500.0,16030.0,934000.0,212000.0,593000.0,97300.0,207000.0
2025-06-20,59500.0,257000.0,375500.0,88600.0,16870.0,470000.0,827000.0,55100.0,16530.0,938000.0,212000.0,609000.0,94900.0,210000.0
2025-06-23,58000.0,259500.0,375500.0,86300.0,16650.0,474000.0,827000.0,53800.0,17550.0,919000.0,214000.0,630000.0,95000.0,201500.0
2025-06-24,60500.0,278500.0,392000.0,87400.0,17060.0,482000.0,826000.0,62200.0,17570.0,895000.0,200000.0,554000.0,91100.0,206000.0
2025-06-25,61300.0,286000.0,364000.0,82500.0,16530.0,497000.0,856000.0,59100.0,17220.0,856000.0,191800.0,527000.0,89900.0,217000.0
2025-06-26,60200.0,293000.0,362500.0,80300.0,16320.0,484000.0,863000.0,56800.0,16610.0,878000.0,196700.0,524000.0,94700.0,209500.0
2025-06-27,60800.0,284000.0,364000.0,79400.0,16160.0,487500.0,857000.0,57000.0,16440.0,890000.0,201000.0,543000.0,91200.0,205000.0
2025-06-30,59800.0,292000.0,366000.0,79400.0,16760.0,507000.0,891000.0,59800.0,17240.0,848000.0,196500.0,540000.0,89800.0,203500.0
2025-07-01,60200.0,285500.0,365000.0,78800.0,16780.0,508000.0,905000.0,59100.0,17250.0,839000.0,201000.0,538000.0,89800.0,210000.0
2025-07-02,60800.0,279000.0,344000.0,76600.0,16540.0,487500.0,938000.0,56800.0,16600.0,819000.0,203000.0,523000.0,89400.0,213500.0
2025-07-03,63800.0,278500.0,330500.0,77000.0,16290.0,454500.0,907000.0,55300.0,16010.0,817000.0,196100.0,516000.0,88900.0,214500.0
2025-07-04,63300.0,270500.0,307000.0,73100.0,15720.0,432000.0,889000.0,52400.0,15470.0,779000.0,180600.0,490500.0,84700.0,210500.0
2025-07-07,61700.0,271000.0,315000.0,73900.0,16210.0,437000.0,903000.0,52500.0,15530.0,805000.0,184500.0,500000.0,85500.0,208500.0
2025-07-08,61400.0,282000.0,320500.0,76700.0,17320.0,451000.0,960000.0,53900.0,15750.0,815000.0,184400.0,524000.0,86100.0,211000.0
2025-07-09,60400.0,281000.0,327500.0,78100.0,17770.0,452000.0,943000.0,54500.0,16080.0,850000.0,195700.0,569000.0,86900.0,209500.0
2025-07-10,61000.0,297000.0,329000.0,78200.0,17880.0,460000.0,975000.0,55600.0,16050.0,853000.0,193900.0,591000.0,86700.0,208000.0
2025-07-11,62600.0,294500.0,321000.0,77500.0,17540.0,442500.0,978000.0,53100.0,15910.0,806000.0,184800.0,570000.0,85900.0,208000.0
2025-07-14,62500.0,300000.0,325000.0,76600.0,17440.0,450500.0,1008000.0,52900.0,15680.0,807000.0,191000.0,589000.0,85400.0,217000.0
2025-07-15,63700.0,298500.0,328000.0,78000.0,18040.0,474000.0,1035000.0,55600.0,16020.0,848000.0,193600.0,610000.0,88900.0,211000.0
2025-07-16,64700.0,296000.0,330500.0,78000.0,17900.0,483000.0,1066000.0,55700.0,15900.0,854000.0,192500.0,611000.0,88200.0,207500.0
2025-07-17,66700.0,269500.0,332000.0,80700.0,18910.0,476000.0,1058000.0,55400.0,15900.0,896000.0,197600.0,628000.0,90300.0,210000.0
2025-07-18,67100.0,269000.0,331500.0,80400.0,18790.0,482500.0,1058000.0,57300.0,16000.0,896000.0,194300.0,631000.0,90400.0,210500.0
2025-07-21,67800.0,272500.0,341000.0,84400.0,19400.0,495000.0,1053000.0,56900.0,16020.0,919000.0,199800.0,630000.0,91500.0,209000.0
2025-07-22,66000.0,268500.0,337500.0,86100.0,19570.0,468000.0,1040000.0,55200.0,15770.0,922000.0,193100.0,591000.0,89900.0,206500.0
2025-07-23,66400.0,269000.0,334500.0,83500.0,19140.0,479500.0,1059000.0,56000.0,16220.0,910000.0,192500.0,593000.0,92200.0,222000.0
2025-07-24,66000.0,269500.0,337500.0,88800.0,19450.0,492000.0,1122000.0,57800.0,15980.0,941000.0,189100.0,584000.0,92600.0,217500.0
2025-07-25,65900.0,266000.0,354000.0,90000.0,18870.0,489000.0,1125000.0,57500.0,15820.0,945000.0,196700.0,598000.0,92800.0,216500.0
2025-07-28,70400.0,262000.0,353500.0,97600.0,18630.0,489000.0,1286000.0,58400.0,15880.0,953000.0,194600.0,601000.0,98500.0,218500.0
2025-07-29,70600.0,262500.0,346000.0,96800.0,18740.0,495000.0,1293000.0,60800.0,15780.0,998000.0,206000.0,622000.0,100500.0,218000.0
2025-07-30,72600.0,263500.0,354500.0,99000.0,18950.0,497000.0,1241000.0,59400.0,15610.0,977000.0,198500.0,615000.0,94500.0,223000.0
2025-07-31,71400.0,273500.0,359000.0,112300.0,19040.0,501000.0,1226000.0,62100.0,15730.0,996000.0,202000.0,628000.0,94500.0,213000.0
2025-08-01,68900.0,258000.0,343000.0,117400.0,18580.0,484000.0,1169000.0,58500.0,15110.0,939000.0,194000.0,592000.0,90900.0,210000.0
2025-08-04,69700.0,258000.0,337500.0,114300.0,18790.0,494000.0,1200000.0,60700.0,15880.0,938000.0,200000.0,600000.0,92800.0,211000.0
2025-08-05,69900.0,263500.0,356500.0,116100.0,19750.0,504000.0,1282000.0,65800.0,16450.0,961000.0,201000.0,614000.0,94600.0,210500.0
2025-08-06,68800.0,258500.0,350000.0,114200.0,19600.0,507000.0,1278000.0,65200.0,16420.0,936000.0,197400.0,603000.0,95100.0,210500.0
2025-08-07,70500.0,262000.0,364000.0,117000.0,19590.0,502000.0,1224000.0,65100.0,16840.0,932000.0,192900.0,603000.0,93500.0,212500.0
2025-08-08,71800.0,256500.0,365000.0,117700.0,19320.0,489000.0,1190000.0,63300.0,16710.0,881000.0,183500.0,513000.0,90800.0,212500.0
2025-08-11,71000.0,267000.0,363500.0,107000.0,19120.0,497500.0,1205000.0,62600.0,17000.0,880000.0,181100.0,503000.0,90200.0,212500.0
2025-08-12,71100.0,269000.0,356000.0,104000.0,18810.0,473500.0,1207000.0,61400.0,16670.0,851000.0,178300.0,499000.0,88300.0,213000.0
2025-08-13,71900.0,278000.0,379500.0,106300.0,19030.0,487500.0,1227000.0,61500.0,16700.0,878000.0,181100.0,502000.0,89400.0,216000.0
2025-08-14,71600.0,276500.0,378500.0,106600.0,18890.0,487500.0,1215000.0,61400.0,16800.0,883000.0,179700.0,506000.0,90900.0,217500.0
2025-08-18,70000.0,267500.0,369500.0,109200.0,19290.0,460000.0,1177000.0,57200.0,16340.0,888000.0,178900.0,509000.0,90800.0,216500.0
2025-08-19,70000.0,263000.0,355000.0,106000.0,18680.0,460000.0,1160000.0,55200.0,16020.0,827000.0,174200.0,484500.0,86600.0,219000.0
2025-08-20,70500.0,255500.0,349500.0,105200.0,18930.0,446500.0,1115000.0,51900.0,15570.0,816000.0,170700.0,476000.0,88000.0,220500.0
